587 -835673965
double     1 2
half       8453244 2113312
half       4226622 1056657
half       2113311 528329
half       1056655 264165
half       528327 132083
half       264163 66042
half       132081 33022
half       66040 16511
half       33020 8256
square     16510 68140898
half       272580100 68145026
half       136290050 34072514
sqrt       68145025 17034193
half       8255 2065
square     4127 4257001
half       17032129 4258034
half       8516064 2129017
half       4258032 1064509
half       2129016 532255
half       1064508 266128
half       532254 133065
half       266127 66533
half       133063 33267
half       66531 16634
half       33265 8318
square     16632 69151699
half       276623424 69155857
half       138311712 34577929
sqrt       69155856 17286886
half       8316 2080
square     4158 4321202
half       17288964 4322242
half       8644482 2161122
sqrt       4322241 1080041
half       2079 521
square     1039 269621
half       1079521 269882
half       539760 134941
half       269880 67471
half       134940 33736
half       67470 16869
half       33735 8435
square     16867 71119706
half       284495689 71123924
half       142247844 35561962
half       71123922 17780982
half       35561961 8890492
half       17780980 4445246
half       8890490 2222624
half       4445245 1111313
half       2222622 555657
half       1111311 277829
half       555655 138915
half       277827 69458
half       138913 34730
half       69456 17365
half       34728 8683
square     17364 75372784
half       301508496 75377125
half       150754248 37688563
sqrt       75377124 18842111
half       8682 2172
square     4341 4709986
half       18844281 4711072
half       9422140 2355536
half       4711070 1177769
half       2355535 588885
half       1177767 294443
half       588883 147222
half       294441 73612
half       147220 36806
half       73610 18404
half       36805 9203
square     18402 84653801
half       338633604 84658402
half       169316802 42329202
sqrt       84658401 21162301
half       9201 2302
square     4600 5288851
half       21160000 5290001
half       10580000 2645001
sqrt       5290000 1321926
half       2300 576
square     1150 330338
half       1322500 330626
half       661250 165314
sqrt       330625 82513
half       575 145
square     287 20521
half       82369 20594
half       41184 10297
square     20592 106002469
half       424030464 106007617
half       212015232 53003809
sqrt       106007616 26499331
half       10296 2575
square     5148 6624190
half       26501904 6625477
half       13250952 3312739
sqrt       6625476 1655726
half       2574 645
square     1287 413771
half       1656369 414094
half       828184 207047
half       414092 103524
half       207046 51763
half       103523 25882
half       51761 12942
square     25880 167437131
half       669774400 167443601
half       334887200 83721801
sqrt       167443600 41857666
half       12940 3236
square     6470 10463608
half       41860900 10465226
